timestamp,equipment_id,vibration_mms,temperature_c,pressure_psi,fail_warning
2026-04-18 00:00:00,COMP_OFFSHORE_01,2.65,65.75,121.99,0
2026-04-18 01:00:00,COMP_OFFSHORE_01,2.46,66.09,119.45,0
2026-04-18 02:00:00,COMP_OFFSHORE_01,2.69,68.47,122.59,0
2026-04-18 03:00:00,COMP_OFFSHORE_01,2.96,70.82,126.09,0
2026-04-18 04:00:00,COMP_OFFSHORE_01,2.43,68.98,119.06,0
2026-04-18 05:00:00,COMP_OFFSHORE_01,2.43,69.48,119.06,0
2026-04-18 06:00:00,COMP_OFFSHORE_01,2.97,72.37,126.32,0
2026-04-18 07:00:00,COMP_OFFSHORE_01,2.73,70.98,123.07,0
2026-04-18 08:00:00,COMP_OFFSHORE_01,2.36,68.63,118.12,0
2026-04-18 09:00:00,COMP_OFFSHORE_01,2.66,69.35,122.17,0
2026-04-18 10:00:00,COMP_OFFSHORE_01,2.36,66.8,118.15,0
2026-04-18 11:00:00,COMP_OFFSHORE_01,2.36,65.6,118.14,0
2026-04-18 12:00:00,COMP_OFFSHORE_01,2.57,65.36,120.97,0
2026-04-18 13:00:00,COMP_OFFSHORE_01,1.93,60.84,112.35,0
2026-04-18 14:00:00,COMP_OFFSHORE_01,1.98,59.91,113.1,0
2026-04-18 15:00:00,COMP_OFFSHORE_01,2.33,60.62,117.75,0
2026-04-18 16:00:00,COMP_OFFSHORE_01,2.2,59.15,115.95,0
2026-04-18 17:00:00,COMP_OFFSHORE_01,2.59,60.64,121.26,0
2026-04-18 18:00:00,COMP_OFFSHORE_01,2.23,58.64,116.37,0
2026-04-18 19:00:00,COMP_OFFSHORE_01,2.08,58.05,114.35,0
2026-04-18 20:00:00,COMP_OFFSHORE_01,2.94,62.87,125.86,0
2026-04-18 21:00:00,COMP_OFFSHORE_01,2.43,61.13,119.1,0
2026-04-18 22:00:00,COMP_OFFSHORE_01,2.52,62.6,120.27,0
2026-04-18 23:00:00,COMP_OFFSHORE_01,2.07,61.57,114.3,0
